chr,geneStart,geneEnd,geneSymbol,citations,strand,transcriptName,geneId,geneType,geneName
chr19,36605887,36616850,TBCB,30,+,union_1155,1155,protein-coding,tubulin folding cofactor B
chr16,30613878,30622096,ZNF689,11,-,union_115509,115509,protein-coding,zinc finger protein 689
chr5,72251807,72386349,FCHO2,27,+,union_115548,115548,protein-coding,FCH domain only 2
chr12,58003962,58011028,ARHGEF25,25,+,union_115557,115557,protein-coding,Rho guanine nucleotide exchange factor 25
chr3,44771097,44778575,ZNF501,10,+,union_115560,115560,protein-coding,zinc finger protein 501
chr1,27331510,27339333,FAM46B,11,-,union_115572,115572,protein-coding,family with sequence similarity 46 member B
chr16,24857183,24922949,SLC5A11,11,+,union_115584,115584,protein-coding,solute carrier family 5 member 11
chr22,42321035,42322821,TNFRSF13C,78,-,union_115650,115650,protein-coding,TNF receptor superfamily member 13C
chr19,55235951,55248003,KIR3DL3,68,+,union_115653,115653,protein-coding,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3"
chr2,169643048,169721849,NOSTRIN,21,+,union_115677,115677,protein-coding,nitric oxide synthase trafficking
chr18,56148481,56296189,ALPK2,6,-,union_115701,115701,protein-coding,alpha kinase 2
chr19,36266416,36279724,ARHGAP33,16,+,union_115703,115703,protein-coding,Rho GTPase activating protein 33
chr19,7895160,7929862,EVI5L,19,+,union_115704,115704,protein-coding,ecotropic viral integration site 5 like
chr14,103995508,104003410,TRMT61A,16,+,union_115708,115708,protein-coding,tRNA methyltransferase 61A
chr19,38899697,38916945,RASGRP4,14,-,union_115727,115727,protein-coding,RAS guanyl releasing protein 4
chr12,64660762,64784345,C12orf56,4,-,union_115749,115749,protein-coding,chromosome 12 open reading frame 56
chr15,66585594,66626236,DIS3L,17,+,union_115752,115752,protein-coding,DIS3 like exosome 3'-5' exoribonuclease
chr13,50202434,50208008,ARL11,25,+,union_115761,115761,protein-coding,ADP ribosylation factor like GTPase 11
chr3,10123003,10149915,FANCD2OS,4,-,union_115795,115795,protein-coding,FANCD2 opposite strand
chr19,45809670,45826235,CKM,104,-,union_1158,1158,protein-coding,"creatine kinase, M-type"
chr12,113633245,113658899,IQCD,8,-,union_115811,115811,protein-coding,IQ motif containing D
chr14,24759803,24769039,DHRS1,18,-,union_115817,115817,protein-coding,dehydrogenase/reductase 1
chr13,52158483,52336171,WDFY2,14,+,union_115825,115825,protein-coding,WD repeat and FYVE domain containing 2
chr5,57878014,58155222,RAB3C,18,+,union_115827,115827,protein-coding,"RAB3C, member RAS oncogene family"
chr19,17566233,17571725,NXNL1,12,-,union_115861,115861,protein-coding,nucleoredoxin like 1
chr15,43885054,43891604,CKMT1B,42,+,union_1159,1159,protein-coding,"creatine kinase, mitochondrial 1B"
chr8,104383742,104395232,CTHRC1,43,+,union_115908,115908,protein-coding,collagen triple helix repeat containing 1
chr16,1399240,1401873,TSR3,8,-,union_115939,115939,protein-coding,"TSR3, acp transferase ribosome maturation factor"
chr19,11531271,11546603,CCDC151,12,-,union_115948,115948,protein-coding,coiled-coil domain containing 151
chr19,11594241,11616738,ZNF653,4,-,union_115950,115950,protein-coding,zinc finger protein 653
chr16,88762902,88772829,RNF166,14,-,union_115992,115992,protein-coding,ring finger protein 166
chr18,904943,912173,ADCYAP1,124,+,union_116,116,protein-coding,adenylate cyclase activating polypeptide 1
chr5,80529138,80562217,CKMT2,29,+,union_1160,1160,protein-coding,"creatine kinase, mitochondrial 2"
chr16,11439294,11445620,RMI2,20,+,union_116028,116028,protein-coding,RecQ mediated genome instability 2
chr8,99956630,99964332,OSR2,10,+,union_116039,116039,protein-coding,odd-skipped related transciption factor 2
chr3,120043575,120068186,LRRC58,10,-,union_116064,116064,protein-coding,leucine rich repeat containing 58
chr5,89811444,89825401,LYSMD3,9,-,union_116068,116068,protein-coding,LysM domain containing 3
chr11,64755416,64764517,BATF2,24,-,union_116071,116071,protein-coding,basic leucine zipper ATF-like transcription factor 2
chr11,64358281,64369825,SLC22A12,82,+,union_116085,116085,protein-coding,solute carrier family 22 member 12
chr20,44420575,44440066,DNTTIP1,30,+,union_116092,116092,protein-coding,deoxynucleotidyltransferase terminal interacting protein 1
chr2,189598464,189654831,DIRC1,7,-,union_116093,116093,protein-coding,disrupted in renal carcinoma 1
chr5,60169658,60240905,ERCC8,59,-,union_1161,1161,protein-coding,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
chr6,41514163,41570122,FOXP4,32,+,union_116113,116113,protein-coding,forkhead box P4
chr19,42724422,42731205,ZNF526,5,+,union_116115,116115,protein-coding,zinc finger protein 526
chr1,166573152,166594473,FMO9P,2,+,union_116123,116123,pseudo,flavin containing monooxygenase 9 pseudogene
chr3,26664296,26752265,LRRC3B,15,+,union_116135,116135,protein-coding,leucine rich repeat containing 3B
chr6,42981840,42989036,KLHDC3,22,+,union_116138,116138,protein-coding,kelch domain containing 3
chr2,68357280,68384692,WDR92,27,-,union_116143,116143,protein-coding,WD repeat domain 92
chr6,117996622,118031886,NUS1,22,+,union_116150,116150,protein-coding,NUS1 dehydrodolichyl diphosphate synthase subunit
chr20,54933982,54943718,FAM210B,10,+,union_116151,116151,protein-coding,family with sequence similarity 210 member B
chr20,58152563,58422766,PHACTR3,20,+,union_116154,116154,protein-coding,phosphatase and actin regulator 3
chr21,27838527,27945723,CYYR1,12,-,union_116159,116159,protein-coding,cysteine and tyrosine rich 1
chr14,23846016,23848981,CMTM5,19,+,union_116173,116173,protein-coding,CKLF like MARVEL transmembrane domain containing 5
chr15,43568478,43594453,TGM7,4,-,union_116179,116179,protein-coding,transglutaminase 7
chr3,196050416,196065291,TM4SF19,4,-,union_116211,116211,protein-coding,transmembrane 4 L six family member 19
chr9,71394921,71398795,FAM122A,18,+,union_116224,116224,protein-coding,family with sequence similarity 122A
chr9,140476530,140484937,ZMYND19,12,-,union_116225,116225,protein-coding,zinc finger MYND-type containing 19
chr1,244998607,245008365,COX20,17,+,union_116228,116228,protein-coding,"COX20, cytochrome c oxidase assembly factor"
chr17,27887688,27894042,ABHD15,5,-,union_116236,116236,protein-coding,abhydrolase domain containing 15
chr17,27051365,27053949,TLCD1,5,-,union_116238,116238,protein-coding,TLC domain containing 1
chr6,149887343,149912887,GINM1,7,+,union_116254,116254,protein-coding,glycoprotein integral membrane 1
chr2,223536456,223574649,MOGAT1,5,+,union_116255,116255,protein-coding,monoacylglycerol O-acyltransferase 1
chr16,20634558,20709110,ACSM1,17,-,union_116285,116285,protein-coding,acyl-CoA synthetase medium chain family member 1
chr1,154947117,154951725,CKS1B,83,+,union_1163,1163,protein-coding,CDC28 protein kinase regulatory subunit 1B
chr8,69242607,69731258,C8orf34,11,+,union_116328,116328,protein-coding,chromosome 8 open reading frame 34
chr11,124481452,124490251,PANX3,14,+,union_116337,116337,protein-coding,pannexin 3
chr5,441950,443275,EXOC3-AS1,3,-,union_116349,116349,ncRNA,EXOC3 antisense RNA 1
chr1,10057254,10076078,RBP7,6,+,union_116362,116362,protein-coding,retinol binding protein 7
chr6,35911290,35992413,SLC26A8,20,-,union_116369,116369,protein-coding,solute carrier family 26 member 8
chr2,133400852,133429152,LYPD1,12,-,union_116372,116372,protein-coding,LY6/PLAUR domain containing 1
chr6,137464956,137494785,IL22RA2,23,-,union_116379,116379,protein-coding,interleukin 22 receptor subunit alpha 2
chr9,91926109,91931618,CKS2,42,+,union_1164,1164,protein-coding,CDC28 protein kinase regulatory subunit 2
chr19,58878989,58892389,ZNF837,1,-,union_116412,116412,protein-coding,zinc finger protein 837
chr12,131649555,131697476,LINC01257,2,+,union_116437,116437,ncRNA,long intergenic non-protein coding RNA 1257
chr3,149036284,149051548,TM4SF18,7,-,union_116441,116441,protein-coding,transmembrane 4 L six family member 18
chrX,154487518,154493874,RAB39B,33,-,union_116442,116442,protein-coding,"RAB39B, member RAS oncogene family"
chr9,104331633,104500862,GRIN3A,85,-,union_116443,116443,protein-coding,glutamate ionotropic receptor NMDA type subunit 3A
chr19,1000417,1009731,GRIN3B,50,+,union_116444,116444,protein-coding,glutamate ionotropic receptor NMDA type subunit 3B
chr8,144391496,144442147,TOP1MT,19,-,union_116447,116447,protein-coding,DNA topoisomerase I mitochondrial
chr21,34442449,34444728,OLIG1,26,+,union_116448,116448,protein-coding,oligodendrocyte transcription factor 1
chr4,10488028,10686489,CLNK,13,-,union_116449,116449,protein-coding,cytokine dependent hematopoietic cell linker
chr1,184020784,184043344,TSEN15,20,+,union_116461,116461,protein-coding,tRNA splicing endonuclease subunit 15
chr1,184760158,184943718,FAM129A,23,-,union_116496,116496,protein-coding,family with sequence similarity 129 member A
chr6,29454473,29455733,MAS1L,8,-,union_116511,116511,protein-coding,"MAS1 proto-oncogene like, G protein-coupled receptor"
chr11,68747489,68748455,MRGPRD,8,-,union_116512,116512,protein-coding,MAS related GPR family member D
chr11,116660085,116663136,APOA5,395,-,union_116519,116519,protein-coding,apolipoprotein A5
chr11,3248882,3253616,MRGPRE,7,-,union_116534,116534,protein-coding,MAS related GPR family member E
chr11,68771861,68780850,MRGPRF,10,-,union_116535,116535,protein-coding,MAS related GPR family member F
chr2,74699084,74699942,MRPL53,17,-,union_116540,116540,protein-coding,mitochondrial ribosomal protein L53
chr19,3762664,3767563,MRPL54,18,+,union_116541,116541,protein-coding,mitochondrial ribosomal protein L54
chr17,79791367,79792926,PPP1R27,5,-,union_116729,116729,protein-coding,protein phosphatase 1 regulatory subunit 27
chr13,33078642,33083532,N4BP2L2-IT2,1,-,union_116828,116828,ncRNA,N4BPL2 intronic transcript 2
chr3,186838738,186857311,RPL39L,12,-,union_116832,116832,protein-coding,ribosomal protein L39 like
chr20,3713316,3733758,HSPA12B,23,+,union_116835,116835,protein-coding,heat shock protein family A (Hsp70) member 12B
chr17,7835398,7853237,CNTROB,30,+,union_116840,116840,protein-coding,"centrobin, centriole duplication and spindle assembly protein"
chr1,227915868,227968932,SNAP47,13,+,union_116841,116841,protein-coding,synaptosome associated protein 47
chr5,132209357,132210582,LEAP2,7,+,union_116842,116842,protein-coding,liver enriched antimicrobial peptide 2
chr6,133090506,133119747,SLC18B1,4,-,union_116843,116843,protein-coding,solute carrier family 18 member B1
chr19,4537226,4540036,LRG1,51,-,union_116844,116844,protein-coding,leucine rich alpha-2-glycoprotein 1
chr3,150804584,151154465,MED12L,14,+,union_116931,116931,protein-coding,mediator complex subunit 12 like
chr3,150690464,150798513,CLRN1-AS1,4,+,union_116933,116933,ncRNA,CLRN1 antisense RNA 1
chr22,39712846,39712901,SNORD139,2,-,union_116936,116936,snoRNA,"small nucleolar RNA, C/D box 139"
chr22,39711217,39711312,SNORD83A,2,-,union_116937,116937,snoRNA,"small nucleolar RNA, C/D box 83A"
chr22,39709823,39709916,SNORD83B,2,-,union_116938,116938,snoRNA,"small nucleolar RNA, C/D box 83B"
chr4,176986984,177103979,WDR17,7,+,union_116966,116966,protein-coding,WD repeat domain 17
chr11,3659735,3663546,ART5,8,-,union_116969,116969,protein-coding,ADP-ribosyltransferase 5
chr1,1227763,1243269,ACAP3,10,-,union_116983,116983,protein-coding,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
chr4,36007025,36246129,ARAP2,17,-,union_116984,116984,protein-coding,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
chr11,72396113,72463434,ARAP1,40,-,union_116985,116985,protein-coding,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
chr12,58118075,58135944,AGAP2,52,-,union_116986,116986,protein-coding,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
chr2,236402732,237040444,AGAP1,28,+,union_116987,116987,protein-coding,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
chr7,150782917,150841523,AGAP3,19,+,union_116988,116988,protein-coding,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
chr7,31092075,31151093,ADCYAP1R1,75,+,union_117,117,protein-coding,ADCYAP receptor type I
chr1,166825748,166845654,TADA1,16,-,union_117143,117143,protein-coding,transcriptional adaptor 1
chr11,65784222,65793988,CATSPER1,31,-,union_117144,117144,protein-coding,cation channel sperm associated 1
chr1,151843342,151882361,THEM4,21,-,union_117145,117145,protein-coding,thioesterase superfamily member 4
chrX,85403454,86087605,DACH2,15,+,union_117154,117154,protein-coding,dachshund family transcription factor 2
chr15,43922759,43941082,CATSPER2,19,-,union_117155,117155,protein-coding,cation channel sperm associated 2
chr5,147258273,147261756,SCGB3A2,24,+,union_117156,117156,protein-coding,secretoglobin family 3A member 2
chr1,162365055,162381928,SH2D1B,26,-,union_117157,117157,protein-coding,SH2 domain containing 1B
chr12,55038374,55042277,DCD,78,-,union_117159,117159,protein-coding,dermcidin
chr16,681011,684116,WFIKKN1,12,+,union_117166,117166,protein-coding,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
chr12,70132465,70216984,RAB3IP,32,+,union_117177,117177,protein-coding,RAB3A interacting protein
chr1,85109389,85156240,SSX2IP,49,-,union_117178,117178,protein-coding,SSX family member 2 interacting protein
chr11,19076002,19082228,MRGPRX2,15,-,union_117194,117194,protein-coding,MAS related GPR family member X2
chr11,18142501,18160027,MRGPRX3,7,+,union_117195,117195,protein-coding,MAS related GPR family member X3
chr11,18194383,18195827,MRGPRX4,5,+,union_117196,117196,protein-coding,MAS related GPR family member X4
chr11,63228875,63258680,HRASLS5,10,-,union_117245,117245,protein-coding,HRAS like suppressor family member 5
chr17,61896792,61905031,FTSJ3,36,-,union_117246,117246,protein-coding,FtsJ RNA methyltransferase homolog 3
chr6,111408780,111544606,SLC16A10,19,+,union_117247,117247,protein-coding,solute carrier family 16 member 10
chr3,16215828,16273499,GALNT15,14,+,union_117248,117248,protein-coding,polypeptide N-acetylgalactosaminyltransferase 15
chr6,33689442,33714762,IP6K3,10,-,union_117283,117283,protein-coding,inositol hexakisphosphate kinase 3
chr20,29956420,29961705,DEFB118,13,+,union_117285,117285,protein-coding,defensin beta 118
chr19,16272178,16284336,CIB3,4,-,union_117286,117286,protein-coding,calcium and integrin binding family member 3
chr6,159455500,159466184,TAGAP,35,-,union_117289,117289,protein-coding,T-cell activation RhoGTPase activating protein
chr3,183892633,183901879,AP2M1,143,+,union_1173,1173,protein-coding,adaptor related protein complex 2 mu 1 subunit
chr7,100797678,100804558,AP1S1,54,+,union_1174,1174,protein-coding,adaptor related protein complex 1 sigma 1 subunit
chr19,47341414,47354252,AP2S1,54,-,union_1175,1175,protein-coding,adaptor related protein complex 2 sigma 1 subunit
chr9,75136716,75451267,TMC1,36,+,union_117531,117531,protein-coding,transmembrane channel like 1
chr20,2517252,2622430,TMC2,20,+,union_117532,117532,protein-coding,transmembrane channel like 2
chr19,14138959,14142370,RLN3,31,+,union_117579,117579,protein-coding,relaxin 3
chr2,239756672,239832244,TWIST2,54,+,union_117581,117581,protein-coding,twist family bHLH transcription factor 2
chr2,205410515,206484886,PARD3B,20,+,union_117583,117583,protein-coding,par-3 family cell polarity regulator beta
chr17,33336130,33416348,RFFL,25,-,union_117584,117584,protein-coding,ring finger and FYVE like domain containing E3 ubiquitin protein ligase
chr5,115177302,115249778,AP3S1,33,+,union_1176,1176,protein-coding,adaptor related protein complex 3 sigma 1 subunit
chr5,178286953,178311424,ZNF354B,3,+,union_117608,117608,protein-coding,zinc finger protein 354B
chr19,40221892,40228669,CLC,32,-,union_1178,1178,protein-coding,Charcot-Leyden crystal galectin
chr11,5617330,5634188,TRIM6,20,+,union_117854,117854,protein-coding,tripartite motif containing 6
chr1,86934525,86965974,CLCA1,47,+,union_1179,1179,protein-coding,chloride channel accessory 1
chr4,2845583,2931802,ADD1,215,+,union_118,118,protein-coding,adducin 1
chr7,143013218,143049097,CLCN1,116,+,union_1180,1180,protein-coding,chloride voltage-gated channel 1
chr3,184063972,184079439,CLCN2,47,-,union_1181,1181,protein-coding,chloride voltage-gated channel 2
chr4,170541671,170644338,CLCN3,60,+,union_1182,1182,protein-coding,chloride voltage-gated channel 3
chrX,10124984,10205699,CLCN4,22,+,union_1183,1183,protein-coding,chloride voltage-gated channel 4
chrX,49687224,49863892,CLCN5,89,+,union_1184,1184,protein-coding,chloride voltage-gated channel 5
chr21,29911639,29912677,LINC00161,4,+,union_118421,118421,ncRNA,long intergenic non-protein coding RNA 161
chr1,1189291,1209234,UBE2J2,16,-,union_118424,118424,protein-coding,ubiquitin conjugating enzyme E2 J2
chr4,80748624,80784401,PCAT4,8,+,union_118425,118425,ncRNA,prostate cancer associated transcript 4 (non-protein coding)
chr12,12510012,12624155,BORCS5,10,+,union_118426,118426,protein-coding,BLOC-1 related complex subunit 5
chr1,102268122,102462790,OLFM3,15,-,union_118427,118427,protein-coding,olfactomedin 3
chr4,80822770,80994626,ANTXR2,57,-,union_118429,118429,protein-coding,anthrax toxin receptor 2
chr12,55248298,55252174,MUCL1,19,+,union_118430,118430,protein-coding,mucin like 1
chr17,7657637,7658286,RPL29P2,1,+,union_118432,118432,pseudo,ribosomal protein L29 pseudogene 2
chr2,114368815,114384715,RPL23AP7,6,-,union_118433,118433,pseudo,ribosomal protein L23a pseudogene 7
chr3,51989329,51991520,GPR62,4,+,union_118442,118442,protein-coding,G protein-coupled receptor 62
chr16,70284133,70285833,EXOSC6,31,-,union_118460,118460,protein-coding,exosome component 6
chr10,50507186,50535537,C10orf71,7,+,union_118461,118461,protein-coding,chromosome 10 open reading frame 71
chr10,135160843,135166187,PRAP1,14,+,union_118471,118471,protein-coding,proline rich acidic protein 1
chr10,135122392,135126666,ZNF511,8,+,union_118472,118472,protein-coding,zinc finger protein 511
chr10,75541807,75543406,CHCHD1,14,+,union_118487,118487,protein-coding,coiled-coil-helix-coiled-coil-helix domain containing 1
chr10,75183336,75193319,MSS51,6,-,union_118490,118490,protein-coding,MSS51 mitochondrial translational activator
chr10,75013515,75118617,CFAP70,5,-,union_118491,118491,protein-coding,cilia and flagella associated protein 70
chr1,11866152,11903201,CLCN6,32,+,union_1185,1185,protein-coding,chloride voltage-gated channel 6
chr16,1494933,1525085,CLCN7,58,-,union_1186,1186,protein-coding,chloride voltage-gated channel 7
chr10,128113565,128359079,C10orf90,13,-,union_118611,118611,protein-coding,chromosome 10 open reading frame 90
chr10,124030810,124097695,BTBD16,11,+,union_118663,118663,protein-coding,BTB domain containing 16
chr10,124739555,124749907,PSTK,5,+,union_118672,118672,protein-coding,phosphoseryl-tRNA kinase
chr1,16348485,16360545,CLCNKA,25,+,union_1187,1187,protein-coding,chloride voltage-gated channel Ka
chr10,48355023,48373866,ZNF488,9,+,union_118738,118738,protein-coding,zinc finger protein 488
chr10,98353068,98480279,PIK3AP1,21,-,union_118788,118788,protein-coding,phosphoinositide-3-kinase adaptor protein 1
chr1,16370230,16383821,CLCNKB,52,+,union_1188,1188,protein-coding,chloride voltage-gated channel Kb
chr10,99374309,99393913,MORN4,9,-,union_118812,118812,protein-coding,MORN repeat containing 4
chr10,99496877,99520664,ZFYVE27,19,+,union_118813,118813,protein-coding,zinc finger FYVE-type containing 27
chr10,127455026,127464390,MMP21,20,-,union_118856,118856,protein-coding,matrix metallopeptidase 21
chr10,76993414,76995824,COMTD1,17,-,union_118881,118881,protein-coding,catechol-O-methyltransferase domain containing 1
chr10,95427639,95462716,FRA10AC1,17,-,union_118924,118924,protein-coding,FRA10A associated CGG repeat 1
chr10,90579658,90611732,ANKRD22,12,-,union_118932,118932,protein-coding,ankyrin repeat domain 22
chr10,104474274,104498947,SFXN2,19,+,union_118980,118980,protein-coding,sideroflexin 2
chr10,119039999,119134978,PDZD8,21,-,union_118987,118987,protein-coding,PDZ domain containing 8
chr2,70889215,70995375,ADD2,59,-,union_119,119,protein-coding,adducin 2
chr10,46321039,46349325,AGAP4,7,-,union_119016,119016,protein-coding,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4"
chr10,104613966,104624718,BORCS7,18,+,union_119032,119032,protein-coding,BLOC-1 related complex subunit 7
chr8,27454433,27472328,CLU,454,-,union_1191,1191,protein-coding,clusterin
chr10,30900707,30918647,LYZL2,8,-,union_119180,119180,protein-coding,lysozyme like 2
chr6,31698357,31705095,CLIC1,104,-,union_1192,1192,protein-coding,chloride intracellular channel 1
chrX,154505495,154563990,CLIC2,28,-,union_1193,1193,protein-coding,chloride intracellular channel 2
chr10,92911760,92912837,NUDT9P1,6,-,union_119369,119369,pseudo,nudix hydrolase 9 pseudogene 1
chr10,88730497,88769960,AGAP11,5,+,union_119385,119385,protein-coding,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"
chr10,106028630,106059176,GSTO2,73,+,union_119391,119391,protein-coding,glutathione S-transferase omega 2
chr10,105881815,105886143,SFR1,13,+,union_119392,119392,protein-coding,SWI5 dependent homologous recombination repair protein 1
chr10,105232560,105238997,CALHM3,7,-,union_119395,119395,protein-coding,calcium homeostasis modulator 3
chr10,131904272,131907101,CTAGE7P,2,+,union_119437,119437,pseudo,"CTAGE family member 7, pseudogene"
chr10,129676104,129691211,CLRN3,15,-,union_119467,119467,protein-coding,clarin 3
chr2,201717731,201729467,CLK1,47,-,union_1195,1195,protein-coding,CDC like kinase 1
chr10,73975757,73995618,ANAPC16,28,+,union_119504,119504,protein-coding,anaphase promoting complex subunit 16
chr10,118187423,118237468,PNLIPRP3,2,+,union_119548,119548,protein-coding,pancreatic lipase related protein 3
chr10,120900424,120925204,SFXN4,19,-,union_119559,119559,protein-coding,sideroflexin 4
chr10,125505151,125651500,CPXM2,11,-,union_119587,119587,protein-coding,"carboxypeptidase X, M14 family member 2"
chr1,155232658,155243320,CLK2,41,-,union_1196,1196,protein-coding,CDC like kinase 2
chr11,5079879,5080857,OR52E2,1,-,union_119678,119678,protein-coding,olfactory receptor family 52 subfamily E member 2
chr11,5067755,5068691,OR52J3,1,+,union_119679,119679,protein-coding,olfactory receptor family 52 subfamily J member 3
chr11,5020212,5021160,OR51L1,2,+,union_119682,119682,protein-coding,olfactory receptor family 51 subfamily L member 1
chr11,4928599,4929538,OR51A7,2,+,union_119687,119687,protein-coding,olfactory receptor family 51 subfamily A member 7
chr11,4869466,4870438,OR51S1,2,-,union_119692,119692,protein-coding,olfactory receptor family 51 subfamily S member 1
chr11,4842615,4843644,OR51F2,2,+,union_119694,119694,protein-coding,olfactory receptor family 51 subfamily F member 2
chr11,4824662,4825610,OR52R1,3,-,union_119695,119695,protein-coding,olfactory receptor family 52 subfamily R member 1 (gene/pseudogene)
chr7,23624334,23626146,CLK2P1,4,-,union_1197,1197,pseudo,"CDC like kinase 2, pseudogene 1"
chr11,36616042,36680841,C11orf74,16,+,union_119710,119710,protein-coding,chromosome 11 open reading frame 74
chr11,51515281,51516211,OR4C46,2,+,union_119749,119749,protein-coding,olfactory receptor family 4 subfamily C member 46
chr11,48266655,48267567,OR4X2,5,+,union_119764,119764,protein-coding,olfactory receptor family 4 subfamily X member 2 (gene/pseudogene)
chr11,48238361,48239291,OR4B1,2,+,union_119765,119765,protein-coding,olfactory receptor family 4 subfamily B member 1
chr11,4566420,4567374,OR52M1,4,+,union_119772,119772,protein-coding,olfactory receptor family 52 subfamily M member 1
chr11,4470524,4471591,OR52K2,2,+,union_119774,119774,protein-coding,olfactory receptor family 52 subfamily K member 2
chr15,74900712,74922542,CLK3,36,+,union_1198,1198,protein-coding,CDC like kinase 3
chr14,95078713,95090390,SERPINA3,183,+,union_12,12,protein-coding,serpin family A member 3
chr10,111756107,111895323,ADD3,43,+,union_120,120,protein-coding,adducin 3
chr11,6633996,6640692,TPP1,103,-,union_1200,1200,protein-coding,tripeptidyl peptidase 1
chr11,7817520,7818489,OR5P2,4,-,union_120065,120065,protein-coding,olfactory receptor family 5 subfamily P member 2
chr11,7846583,7847519,OR5P3,3,-,union_120066,120066,protein-coding,olfactory receptor family 5 subfamily P member 3
chr11,45943171,45950647,LARGE2,19,+,union_120071,120071,protein-coding,LARGE xylosyl- and glucuronyltransferase 2
chr16,28477973,28503623,CLN3,95,-,union_1201,1201,protein-coding,"CLN3, battenin"
chr11,92877336,92931141,SLC36A4,8,-,union_120103,120103,protein-coding,solute carrier family 36 member 4
chr11,92085261,92629635,FAT3,13,+,union_120114,120114,protein-coding,FAT atypical cadherin 3
chr11,89701671,89707240,TRIM64,2,+,union_120146,120146,protein-coding,tripartite motif containing 64
chr11,129685675,129729406,TMEM45B,14,+,union_120224,120224,protein-coding,transmembrane protein 45B
chr11,14899555,14913751,CYP2R1,64,-,union_120227,120227,protein-coding,cytochrome P450 family 2 subfamily R member 1
chr11,20177700,20181870,DBX1,2,-,union_120237,120237,protein-coding,developing brain homeobox 1
chr13,77566058,77576652,CLN5,38,+,union_1203,1203,protein-coding,"CLN5, intracellular trafficking protein"
chr11,111169270,111179460,COLCA2,14,+,union_120376,120376,protein-coding,colorectal cancer associated 2
chr11,111934733,111944895,PIH1D2,8,-,union_120379,120379,protein-coding,PIH1 domain containing 2
chr11,114389655,114430617,NXPE1,4,-,union_120400,120400,protein-coding,neurexophilin and PC-esterase domain family member 1
chr11,114549199,114577652,NXPE2,2,+,union_120406,120406,protein-coding,neurexophilin and PC-esterase domain family member 2
chr11,118064441,118095809,JAML,12,-,union_120425,120425,protein-coding,junction adhesion molecule like
chr11,31391376,31454382,DNAJC24,9,+,union_120526,120526,protein-coding,DnaJ heat shock protein family (Hsp40) member C24
chr11,30344645,30359770,ARL14EP,12,+,union_120534,120534,protein-coding,ADP ribosylation factor like GTPase 14 effector protein
chr11,55860783,55861716,OR8I2,5,+,union_120586,120586,protein-coding,olfactory receptor family 8 subfamily I member 2
chr11,77327195,77348851,CLNS1A,62,-,union_1207,1207,protein-coding,chloride nucleotide-sensitive channel 1A
chr11,6942232,6943225,OR2D3,3,+,union_120775,120775,protein-coding,olfactory receptor family 2 subfamily D member 3
chr11,6912804,6913731,OR2D2,4,-,union_120776,120776,protein-coding,olfactory receptor family 2 subfamily D member 2
chr11,6220453,6221416,OR52W1,4,+,union_120787,120787,protein-coding,olfactory receptor family 52 subfamily W member 1
chr11,6023280,6024378,OR56A4,2,-,union_120793,120793,protein-coding,olfactory receptor family 56 subfamily A member 4
chr11,6047900,6048971,OR56A1,2,-,union_120796,120796,protein-coding,olfactory receptor family 56 subfamily A member 1
chr6,35762758,35765121,CLPS,26,-,union_1208,1208,protein-coding,colipase
chr12,100597446,100660857,DEPDC4,4,-,union_120863,120863,protein-coding,DEP domain containing 4
chr12,40618812,40763086,LRRK2,761,+,union_120892,120892,protein-coding,leucine rich repeat kinase 2
chr19,45457841,45496604,CLPTM1,33,+,union_1209,1209,protein-coding,"CLPTM1, transmembrane protein"
chr12,96260825,96336428,CCDC38,9,-,union_120935,120935,protein-coding,coiled-coil domain containing 38
chr12,10323197,10344403,TMEM52B,9,+,union_120939,120939,protein-coding,transmembrane protein 52B
chr12,50721091,50790405,FAM186A,4,-,union_121006,121006,protein-coding,family with sequence similarity 186 member A
chr12,105380097,105388505,C12orf45,11,+,union_121053,121053,protein-coding,chromosome 12 open reading frame 45
chr9,36190852,36212059,CLTA,69,+,union_1211,1211,protein-coding,clathrin light chain A
chr12,55968198,55969128,OR2AP1,1,+,union_121129,121129,protein-coding,olfactory receptor family 2 subfamily AP member 1
chr12,56030675,56031617,OR10P1,5,+,union_121130,121130,protein-coding,olfactory receptor family 10 subfamily P member 1
chr5,175819455,175843570,CLTB,47,-,union_1212,1212,protein-coding,clathrin light chain B
chr12,57316937,57328189,SDR9C7,10,-,union_121214,121214,protein-coding,short chain dehydrogenase/reductase family 9C member 7
chr12,59265936,59314319,LRIG3,29,-,union_121227,121227,protein-coding,leucine rich repeats and immunoglobulin like domains 3
chr12,129556270,130388212,TMEM132D,22,-,union_121256,121256,protein-coding,transmembrane protein 132D
chr12,129277738,129308541,SLC15A4,20,-,union_121260,121260,protein-coding,solute carrier family 15 member 4
